date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:06	75691/75691	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202019%2019:58:20%20GMT	https://themescare.com/demos/gauto-preview/	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/index.html	(from )
15:29:07	1839/1839	---M-Z	200	added ('OK')	text/plain	date:Mon,%2008%20Jun%202020%2017:38:47%20GMT	https://themescare.com/robots.txt		(from )
15:29:07	1318/1318	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202019%2014:54:10%20GMT	https://themescare.com/demos/gauto-preview/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/img/favicon/favicon-32x32.png	(from https://themescare.com/demos/gauto-preview/)
15:29:09	216616/216616	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:08%20GMT	https://themescare.com/demos/gauto-preview/assets/css/bootstrap.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/bootstrap.css	(from https://themescare.com/demos/gauto-preview/)
15:29:10	31024/31024	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:10%20GMT	https://themescare.com/demos/gauto-preview/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/font-awesome.min.css	(from https://themescare.com/demos/gauto-preview/)
15:29:11	7806/7806	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:10%20GMT	https://themescare.com/demos/gauto-preview/assets/css/magnific-popup.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/magnific-popup.css	(from https://themescare.com/demos/gauto-preview/)
15:29:11	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:10%20GMT	https://themescare.com/demos/gauto-preview/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/owl.carousel.min.css	(from https://themescare.com/demos/gauto-preview/)
15:29:12	1013/1013	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:10%20GMT	https://themescare.com/demos/gauto-preview/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/owl.theme.default.min.css	(from https://themescare.com/demos/gauto-preview/)
15:29:12	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2009:32:08%20GMT	https://themescare.com/demos/gauto-preview/assets/css/animate.min.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/animate.min.css	(from https://themescare.com/demos/gauto-preview/)
15:29:14	3634/3634	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202019%2018:51:50%20GMT	https://themescare.com/demos/gauto-preview/assets/css/jquery.datepicker.css	C:/My%20Web%20Sites/jan%20tours%20car/themescare.com/demos/gauto-preview/assets/css/jquery.datepicker.css	(from https://themescare.com/demos/gauto-preview/)
